id	PT	PU	AP	PC	NG	NB	ND	NS	MO	PSN	CH	DABM	DSBM	DSIG	DPXV	DCTC	BRO	COORD_E	COORD_N
35	1200000	8000	150	Médio	2	4	3	1	SM	Nao	Nao	353	1803	7678	1993	7937	Centro	741252	6945760
36	1149950	8984	128	Alto	2	2	3	1	MO	Nao	Nao	74	1910	7788	2618	8047	Centro	740698	6945860
37	1300000	6500	200	Alto	2	4	3	3	N	Nao	Nao	700	1594	7482	930	7741	Centro	741731	6945540
38	1889930	8957	211	Alto	2	4	4	2	N	Sim	Nao	91	459	6346	2277	6605	Centro	742073	6946340
39	625986	7542	83	Médio	1	2	3	1	MO	Sim	Sim	235	2716	8594	2580	8853	Centro	741053	6945820
40	1049040	11160	94	Alto	2	2	3	1	N	Nao	Sim	220	2259	8137	2967	8396	Centro	740831	6945760
41	1949970	14338	136	Alto	2	4	4	3	MO	Sim	Sim	153	1625	7503	3690	7762	Centro	741049	6945900
42	349988	5932	59	Baixo	1	1	2	0	N	Nao	Sim	633	2652	9139	2492	9398	Centro	741193	6945430
43	315000	5625	56	Alto	0	2	1	1	N	Nao	Sim	1010	2195	7336	1415	4221	Centro	742666	6945600
44	680002	7907	86	Médio	1	2	3	1	SM	Nao	Sim	395	1872	7747	2062	8006	Centro	741175	6945690
45	1049990	9813	107	Alto	3	2	3	1	SM	Sim	Nao	357	2561	8439	2426	8698	Centro	740987	6945670
46	830032	7411	112	Alto	1	2	3	1	SM	Nao	Nao	548	1917	7805	1135	8064	Centro	741762	6945710
47	580545	5985	97	Baixo	1	2	2	1	SM	Nao	Nao	345	1811	7689	3877	7948	Centro	741143	6945730
48	830025	9765	85	Médio	2	2	3	1	N	Sim	Nao	302	1381	7256	1571	7515	Centro	741549	6945900
49	579020	8515	68	Alto	2	2	2	1	N	Sim	Sim	997	2223	7364	1443	4249	Centro	742628	6945590
50	729968	8488	86	Médio	1	2	3	1	MO	Sim	Sim	544	2705	9582	2196	9841	Centro	741042	6945240
51	855998	11726	73	Alto	2	3	3	2	N	Sim	Sim	637	1013	6900	1799	7159	Centro	742435	6945900
52	599040	6240	96	Baixo	1	2	3	1	N	Sim	Sim	1085	1855	7452	698	4688	Centro	742301	6945350
53	597984	6229	96	Baixo	1	2	2	1	MO	Sim	Sim	151	2127	8005	2835	8264	Centro	740782	6945820
54	558000	6200	90	Médio	1	1	2	1	N	Sim	Sim	514	2702	9579	2193	9838	Centro	741024	6945270
55	1060010	12184	87	Alto	2	2	3	1	SM	Nao	Sim	265	1300	7187	2086	7446	Centro	742130	6946170
56	2799940	12727	220	Alto	4	5	4	3	N	Sim	Sim	477	2062	7950	1280	8209	Centro	741975	6945880
57	749994	5102	147	Médio	1	3	2	1	MO	Nao	Nao	143	2093	7971	2801	8230	Centro	740741	6945810
58	1102620	11730	94	Alto	2	3	3	2	N	Sim	Sim	668	1067	6954	1853	7213	Centro	742390	6945840
59	730020	10580	69	Alto	1	2	2	1	MO	Nao	Sim	592	2427	8305	2428	8564	Centro	741469	6945580
60	349980	5833	60	Baixo	1	1	3	0	N	Nao	Nao	400	982	6869	1768	7128	Centro	742326	6946110
61	953232	11348	84	Alto	1	2	3	1	N	Sim	Sim	1229	2231	8119	556	8378	Centro	741906	6945040
62	849990	4885	174	Baixo	2	5	3	2	N	Nao	Nao	967	2308	8196	549	4819	Centro	741827	6945290
63	1290060	9556	135	Médio	2	4	3	2	N	Sim	Sim	504	2091	7979	1309	8238	Centro	741973	6945850
64	849986	7522	113	Médio	2	3	3	1	SM	Nao	Sim	633	1515	7467	1391	7726	Centro	742002	6945720
65	679995	9855	69	Médio	1	2	2	1	SM	Nao	Nao	113	3006	8879	2137	9138	Centro	742438	6946560
