"id" "PT" "PU" "AP" "PC" "NG" "NB" "ND" "NS" "MO" "PSN" "CH" "DABM" "DSBM" "DSIG" "DPXV" "DCTC" "BRO" "COORD_E" "COORD_N"
"141" 141 870010 9158 95 "Alto" 2 3 4 2 "SM" "Sim" "Sim" 1595 5605 1366 6316 1352 "Trindade" 744940 6945463
"142" 142 650048 5804 112 "Médio" 2 3 4 2 "SM" "Nao" "Sim" 1757 5755 1992 4302 915 "Trindade" 744527 6945224
"143" 143 445036 4588 97 "Baixo" 1 2 2 1 "N" "Nao" "Sim" 1900 6683 1952 3968 875 "Trindade" 744363 6945080
"144" 144 495016 5756 86 "Médio" 1 2 3 1 "SM" "Nao" "Nao" 1251 4982 2402 6726 1325 "Trindade" 744581 6945735
"145" 145 969025 11675 83 "Alto" 2 3 3 1 "MO" "Sim" "Sim" 1602 5645 1326 6356 1392 "Trindade" 745004 6945478
"146" 146 858990 9042 95 "Alto" 2 3 3 1 "SM" "Sim" "Sim" 1653 5605 1366 6316 1352 "Trindade" 745022 6945430
"147" 147 369990 8222 45 "Alto" 1 1 1 1 "N" "Nao" "Sim" 353 3212 2187 4956 2465 "Trindade" 744180 6946744
"148" 148 349992 4861 72 "Baixo" 1 2 3 0 "N" "Nao" "Nao" 1345 5299 2546 7043 1469 "Trindade" 744821 6945688
"149" 149 439976 5116 86 "Baixo" 1 2 2 1 "SM" "Nao" "Nao" 886 4760 1449 6504 1727 "Trindade" 744412 6946093
"150" 150 974974 10714 91 "Alto" 2 2 3 1 "N" "Sim" "Sim" 303 3583 1911 5327 3085 "Trindade" 744331 6946697
"151" 151 298998 6102 49 "Baixo" 1 1 1 0 "SM" "Nao" "Nao" 539 3922 2233 5666 2511 "Trindade" 744376 6946444
"152" 152 445014 6642 67 "Médio" 1 2 2 1 "SM" "Nao" "Nao" 164 4948 1781 6692 2955 "Trindade" 744384 6946826
"153" 153 349011 6123 57 "Baixo" 1 1 2 0 "MO" "Nao" "Nao" 1825 5684 1921 4308 844 "Trindade" 744596 6945160
"154" 154 299962 3614 83 "Baixo" 1 2 1 0 "N" "Nao" "Nao" 754 3750 1649 5494 1927 "Trindade" 744385 6946227
"155" 155 590019 8551 69 "Médio" 2 2 2 1 "SM" "Sim" "Sim" 1294 5023 2362 6767 1285 "Trindade" 744555 6945690
"156" 156 287980 4235 68 "Baixo" 1 1 3 0 "MO" "Nao" "Sim" 1165 5226 2643 6970 1566 "Trindade" 744768 6945860
"157" 157 489984 5632 87 "Médio" 1 2 3 1 "MO" "Nao" "Nao" 1522 6019 1288 6393 1429 "Trindade" 745041 6945579
"158" 158 315000 4200 75 "Baixo" 1 1 2 0 "N" "Nao" "Nao" 1194 5226 2643 6970 1566 "Trindade" 744813 6945843
"159" 159 580000 7250 80 "Médio" 1 2 3 1 "N" "Nao" "Sim" 949 4471 1362 6215 2537 "Trindade" 744595 6946042
"160" 160 399024 5542 72 "Baixo" 2 2 2 1 "N" "Nao" "Sim" 2211 7117 2386 4197 1309 "Trindade" 744111 6944793
"161" 161 749970 8333 90 "Médio" 2 1 3 1 "MO" "Nao" "Nao" 1699 5788 2025 4269 948 "Trindade" 744520 6945281
"162" 162 599012 8809 68 "Alto" 1 2 2 1 "MO" "Nao" "Sim" 310 3392 2367 5136 2494 "Trindade" 744270 6946721
"163" 163 929961 10449 89 "Alto" 2 2 3 1 "SM" "Sim" "Sim" 307 3437 2412 5181 2539 "Trindade" 744236 6946752
"164" 164 330000 4125 80 "Baixo" 1 2 2 1 "SM" "Nao" "Nao" 1096 5138 1827 6882 2105 "Trindade" 744110 6945935
"165" 165 598980 8940 67 "Alto" 1 2 2 1 "SM" "Nao" "Sim" 476 3663 1974 5407 2252 "Trindade" 744367 6946509
"166" 166 639975 6095 105 "Médio" 2 3 3 1 "MO" "Nao" "Nao" 1605 5465 2084 5971 1007 "Trindade" 744721 6945398
